Motions - Vessel 1
Time	Surge - Vessel 1	Sway - Vessel 1	Heave - Vessel 1	Roll - Vessel 1	Pitch - Vessel 1	Yaw - Vessel 1
2000-01-01 00:00:46	0.000368442	0.00181489	0.000632872	-0.00103906	-1.61376E-05	-0.000634679
2000-01-01 00:00:46	0.000369955	0.00181257	0.000632437	-0.00119002	-1.62963E-05	-0.000634663
2000-01-01 00:00:46	0.000371698	0.00181031	0.000632023	-0.00132138	-1.66069E-05	-0.000635636
2000-01-01 00:00:46	0.000373645	0.0018082	0.000631633	-0.0014306	-1.70135E-05	-0.00063748
2000-01-01 00:00:47	0.000375761	0.00180635	0.000631271	-0.00151563	-1.74592E-05	-0.000640071
2000-01-01 00:00:47	0.000377998	0.00180483	0.00063094	-0.00157486	-1.78887E-05	-0.000643238
2000-01-01 00:00:47	0.000380305	0.00180369	0.000630644	-0.00160722	-1.82515E-05	-0.000646849
2000-01-01 00:00:47	0.000382631	0.00180297	0.000630387	-0.00161214	-1.85038E-05	-0.000650769
2000-01-01 00:00:48	0.000384924	0.0018027	0.000630172	-0.00158962	-1.86102E-05	-0.000654863
2000-01-01 00:00:48	0.000387131	0.00180285	0.000630006	-0.00154022	-1.85749E-05	-0.000659095
2000-01-01 00:00:48	0.000389225	0.00180337	0.000629896	-0.00146507	-1.84407E-05	-0.000663514
2000-01-01 00:00:48	0.000391198	0.0018042	0.000629848	-0.00136582	-1.82561E-05	-0.000668155
2000-01-01 00:00:49	0.000393041	0.00180527	0.000629868	-0.00124454	-1.80709E-05	-0.000673033
2000-01-01 00:00:49	0.000394745	0.00180651	0.00062996	-0.00110373	-1.79338E-05	-0.000678145
2000-01-01 00:00:49	0.000396308	0.00180786	0.000630125	-0.000946234	-1.78896E-05	-0.000683465
2000-01-01 00:00:49	0.000397736	0.00180929	0.000630364	-0.000775219	-1.79777E-05	-0.000688947
2000-01-01 00:00:50	0.000399045	0.00181074	0.000630673	-0.000594073	-1.82304E-05	-0.00069453
2000-01-01 00:00:50	0.000400253	0.00181222	0.000631047	-0.000406316	-1.86369E-05	-0.00070005
2000-01-01 00:00:50	0.000401341	0.00181377	0.000631478	-0.000215535	-1.9142E-05	-0.000705251
2000-01-01 00:00:50	0.000402296	0.0018154	0.000631957	-2.53514E-05	-1.96883E-05	-0.000709885
2000-01-01 00:00:51	0.000403114	0.00181715	0.00063247	0.000160643	-2.0219E-05	-0.000713719
2000-01-01 00:00:51	0.00040379	0.00181902	0.000633005	0.000338954	-2.06808E-05	-0.000716547
2000-01-01 00:00:51	0.00040432	0.00182102	0.000633547	0.000506253	-2.10253E-05	-0.000718202
2000-01-01 00:00:51	0.000404698	0.00182314	0.000634083	0.000659438	-2.12115E-05	-0.000718539
2000-01-01 00:00:52	0.000404916	0.00182534	0.000634597	0.000795692	-2.12063E-05	-0.000717455
2000-01-01 00:00:52	0.000404967	0.00182758	0.000635077	0.000912478	-2.10184E-05	-0.000714976
2000-01-01 00:00:52	0.000404876	0.00182975	0.000635507	0.0010076	-2.06975E-05	-0.000711252
2000-01-01 00:00:52	0.00040467	0.00183178	0.000635876	0.00107929	-2.02968E-05	-0.000706451
2000-01-01 00:00:53	0.000404381	0.00183357	0.000636175	0.00112626	-1.98698E-05	-0.000700823
2000-01-01 00:00:53	0.000404052	0.00183507	0.000636397	0.00114773	-1.9468E-05	-0.000694616
2000-01-01 00:00:53	0.000403717	0.00183621	0.000636538	0.00114335	-1.91372E-05	-0.00068801
2000-01-01 00:00:53	0.000403405	0.00183697	0.000636599	0.00111331	-1.8916E-05	-0.000681184
2000-01-01 00:00:54	0.000403145	0.00183733	0.000636584	0.00105827	-1.88348E-05	-0.000674319
2000-01-01 00:00:54	0.000402959	0.00183732	0.000636498	0.000979439	-1.88853E-05	-0.00066749
2000-01-01 00:00:54	0.000402848	0.00183698	0.000636354	0.000878552	-1.90214E-05	-0.000660684
2000-01-01 00:00:54	0.000402805	0.00183639	0.000636161	0.000757744	-1.91931E-05	-0.000653894
2000-01-01 00:00:55	0.000402819	0.00183561	0.000635934	0.000619521	-1.93499E-05	-0.00064713
2000-01-01 00:00:55	0.000402881	0.00183469	0.000635683	0.00046671	-1.94442E-05	-0.000640413
2000-01-01 00:00:55	0.000402986	0.00183368	0.000635419	0.000302396	-1.94336E-05	-0.00063378
2000-01-01 00:00:55	0.000403135	0.00183261	0.000635151	0.000129868	-1.92824E-05	-0.000627276
2000-01-01 00:00:56	0.000403332	0.00183151	0.000634885	-4.74461E-05	-1.89635E-05	-0.000620956
2000-01-01 00:00:56	0.000403589	0.00183038	0.000634625	-0.000226099	-1.84945E-05	-0.000614979
2000-01-01 00:00:56	0.000403942	0.00182917	0.000634373	-0.000402691	-1.79362E-05	-0.000609591
2000-01-01 00:00:56	0.000404437	0.00182786	0.000634128	-0.00057389	-1.73525E-05	-0.000604989
2000-01-01 00:00:57	0.000405116	0.00182641	0.000633888	-0.000736487	-1.68063E-05	-0.000601349
2000-01-01 00:00:57	0.000406011	0.00182481	0.00063365	-0.000887444	-1.63559E-05	-0.000598856
2000-01-01 00:00:57	0.000407142	0.00182307	0.000633412	-0.00102396	-1.60524E-05	-0.000597666
2000-01-01 00:00:57	0.00040855	0.00182122	0.000633171	-0.00114352	-1.59401E-05	-0.000597898
2000-01-01 00:00:58	0.000410263	0.00181927	0.000632926	-0.00124397	-1.6053E-05	-0.000599641
2000-01-01 00:00:58	0.000412286	0.00181731	0.000632677	-0.00132348	-1.63807E-05	-0.000602814
2000-01-01 00:00:58	0.000414592	0.00181542	0.000632427	-0.00138054	-1.68702E-05	-0.000607257
2000-01-01 00:00:58	0.000417143	0.0018137	0.000632179	-0.00141413	-1.74634E-05	-0.000612797
