dir	vel
261.1	3.38
259.7	4.5
262.5	3.38
265.3	3.94
263.9	5.64
258.3	3.38
258.3	4.5
259.7	4.5
263.9	5.08
268.1	6.2
266.7	6.76
261.1	5.08
256.9	5.64
263.9	4.5
261.1	5.64
254.1	6.76
256.9	7.31
263.9	6.2
262.5	6.76
268.1	6.76
266.7	6.2
261.1	6.2
268.1	4.5
258.3	5.08
254.1	3.38
261.1	5.08
259.7	5.64
244.3	3.38
263.9	2.82
244.3	4.5
244.3	5.08
255.5	3.94
251.3	4.5
255.5	5.08
262.5	6.2
263.9	6.2
262.5	5.64
261.1	6.2
254.1	4.5
240.1	3.38
230.2	3.38
226	1.7
252.7	5.64
231.6	5.08
255.5	6.76
272.4	7.31
259.7	6.76
261.1	4.5
241.5	6.76
263.9	7.9
259.7	6.76
256.9	5.08
228.8	5.64
235.9	6.2
249.9	5.64
262.5	5.08
256.9	9.01
249.9	7.9
252.7	8.46
249.9	7.31
247.1	5.64
223.2	5.08
237.3	5.64
255.5	7.31
213.4	5.64
261.1	8.46
237.3	5.64
249.9	6.76
255.5	5.08
259.7	6.2
262.5	9.57
262.5	7.31
244.3	6.2
242.9	3.38
226	4.5
223.2	6.76
234.5	6.2
230.2	5.64
230.2	7.9
214.8	6.76
230.2	5.64
233.1	6.2
221.8	6.2
203.6	4.5
221.8	4.5
228.8	5.08
224.6	5.08
242.9	6.2
216.2	5.64
186.7	5.08
263.9	4.5
206.4	5.64
205	7.9
200.8	7.31
219	5.64
207.8	6.76
216.2	4.5
203.6	5.08
213.4	6.2
228.8	4.5
212	5.08
205	5.64
188.1	4.5
206.4	5.08
212	6.2
196.5	7.31
199.4	6.2
221.8	6.2
213.4	4.5
209.2	5.64
202.2	7.31
195.1	5.64
254.1	5.08
205	6.76
206.4	5.64
202.2	6.76
213.4	7.9
198	7.31
205	5.64
207.8	5.08
207.8	8.46
198	7.31
221.8	7.31
220.4	7.9
219	7.9
220.4	9.01
206.4	8.46
214.8	8.46
214.8	7.31
221.8	8.46
214.8	7.9
209.2	7.9
203.6	7.31
216.2	9.01
224.6	7.9
207.8	6.76
209.2	9.01
210.6	7.31
195.1	6.76
172.7	5.64
228.8	7.9
210.6	5.64
210.6	7.9
220.4	7.9
217.6	8.46
214.8	6.76
196.5	9.01
199.4	8.46
210.6	9.01
207.8	8.46
214.8	9.01
220.4	5.08
214.8	7.31
212	6.76
195.1	7.31
209.2	7.31
217.6	7.9
207.8	5.08
206.4	9.57
217.6	6.2
207.8	7.31
217.6	7.31
241.5	4.5
206.4	8.46
202.2	10.13
213.4	7.31
198	8.46
195.1	5.64
217.6	5.64
221.8	6.76
217.6	8.46
205	9.01
216.2	7.9
193.7	7.31
199.4	9.57
214.8	8.46
216.2	9.01
217.6	10.13
220.4	7.31
220.4	9.57
219	9.01
217.6	9.01
219	8.46
212	6.76
224.6	9.57
205	9.01
213.4	9.01
203.6	10.13
220.4	8.46
220.4	6.76
226	7.31
206.4	9.01
205	9.01
207.8	8.46
198	7.9
205	11.27
219	9.57
200.8	7.31
213.4	7.31
214.8	6.76
207.8	8.46
202.2	8.46
207.8	6.76
224.6	8.46
206.4	7.9
209.2	9.01
209.2	7.9
199.4	6.76
202.2	8.46
206.4	10.69
207.8	8.46
210.6	8.46
199.4	7.31
202.2	8.46
207.8	8.46
203.6	7.31
212	10.69
209.2	10.13
205	9.57
198	10.13
217.6	10.13
199.4	9.01
207.8	6.2
196.5	10.69
212	10.13
219	10.13
216.2	9.01
205	10.69
216.2	10.13
209.2	8.46
206.4	9.57
214.8	8.46
212	8.46
198	11.27
207.8	9.01
212	10.69
206.4	11.83
209.2	10.69
210.6	10.13
209.2	8.46
223.2	8.46
206.4	9.57
205	11.27
212	9.57
231.6	10.69
230.2	7.31
210.6	8.46
205	9.01
207.8	9.57
214.8	9.01
210.6	9.01
212	10.69
213.4	9.57
207.8	11.83
216.2	9.01
219	7.9
216.2	10.13
213.4	8.46
209.2	9.57
214.8	9.57
212	9.01
210.6	9.57
230.2	7.9
209.2	7.9
213.4	8.46
224.6	9.57
216.2	10.13
224.6	9.01
212	10.69
202.2	9.57
199.4	10.13
209.2	8.46
200.8	10.69
216.2	9.57
210.6	10.13
223.2	9.01
203.6	10.13
207.8	9.57
210.6	10.69
216.2	9.57
217.6	10.13
219	10.13
212	9.57
223.2	9.01
224.6	9.57
220.4	11.83
214.8	10.13
240.1	10.69
217.6	12.39
227.4	11.27
212	10.13
223.2	11.83
212	10.13
221.8	9.57
209.2	10.69
220.4	11.27
213.4	10.69
214.8	10.13
230.2	9.01
219	9.01
212	9.57
213.4	9.01
210.6	11.27
210.6	10.13
209.2	9.57
227.4	9.01
206.4	10.69
226	9.01
213.4	9.57
210.6	9.01
